provinceName,province_confirmedCount,updateTime
台湾,16578,2021/11/27
香港,12424,2021/11/27
江西,959,2021/11/27
辽宁,783,2021/11/27
湖南,1199,2021/11/27
四川,1269,2021/11/27
天津,530,2021/11/27
陕西,707,2021/11/27
吉林,583,2021/11/27
河南,1637,2021/11/27
广西壮族自治区,393,2021/11/27
黑龙江,1992,2021/11/27
山东,1015,2021/11/27
河北,1453,2021/11/27
云南,1683,2021/11/27
广东,3294,2021/11/27
上海,2842,2021/11/27
云南,1678,2021/11/26
青海,30,2021/11/26
甘肃,344,2021/11/26
台湾,16566,2021/11/26
香港,12421,2021/11/26
吉林,583,2021/11/26
黑龙江,1992,2021/11/26
北京,1191,2021/11/26
辽宁,779,2021/11/26
天津,529,2021/11/26
宁夏回族自治区,122,2021/11/26
河南,1636,2021/11/26
广西壮族自治区,391,2021/11/26
浙江,1503,2021/11/26
山东,1013,2021/11/26
江苏,1619,2021/11/26
江西,959,2021/11/26
上海,2837,2021/11/26
广东,3291,2021/11/26
四川,1269,2021/11/26
河北,1453,2021/11/26
内蒙古自治区,618,2021/11/26
上海,2836,2021/11/25
台湾,16554,2021/11/25
甘肃,344,2021/11/25
辽宁,778,2021/11/25
河南,1636,2021/11/25
四川,1269,2021/11/25
山东,1013,2021/11/25
福建,1320,2021/11/25
陕西,707,2021/11/25
吉林,583,2021/11/25
香港,12411,2021/11/25
云南,1678,2021/11/25
黑龙江,1992,2021/11/25
广西壮族自治区,390,2021/11/25
广东,3285,2021/11/25
河北,1453,2021/11/25
台湾,16544,2021/11/24
香港,12411,2021/11/24
河南,1636,2021/11/24
福建,1319,2021/11/24
辽宁,778,2021/11/24
山东,1011,2021/11/24
甘肃,344,2021/11/24
宁夏回族自治区,122,2021/11/24
江西,959,2021/11/24
黑龙江,1992,2021/11/24
云南,1673,2021/11/24
广西壮族自治区,386,2021/11/24
上海,2829,2021/11/24
河北,1453,2021/11/24
广东,3281,2021/11/24
四川,1268,2021/11/24
天津,528,2021/11/24
北京,1191,2021/11/24
陕西,705,2021/11/24
台湾,16539,2021/11/23
香港,12410,2021/11/23
辽宁,775,2021/11/23
青海,30,2021/11/23
